secretaria,sigla_uf,instituicao,descricao_empreendimento,municipio,valor_previsto
SESU,AC,UFAC,Biblioteca do Campus Fronteira do Alto Acre - UFAC,Brasiléia,3000000.0
SESU,AC,UFAC,Equipamentos e mobiliários do Campus Fronteira do Alto Acre - UFAC,Brasiléia,5000000.0
SESU,AC,UFAC,Infraestrutura e urbanização do Campus Fronteira do Alto Acre - UFAC (Contratação de Projeto),Brasiléia,15000000.0
SESU,AC,UFAC,Laboratórios do Campus Fronteira do Alto Acre - UFAC,Brasiléia,4000000.0
SESU,AC,UFAC,Restaurante Universitário do Campus Fronteira do Alto Acre - UFAC,Brasiléia,5000000.0
SESU,AC,UFAC,Salas de Aula do Campus Fronteira do Alto Acre - UFAC,Brasiléia,8000000.0
SESU,AL,UFAL,Estruturas Acadêmicas do Campus Arapiraca - UFAL,Arapiraca,9000000.0
SESU,AL,UFAL,Restaurante Universitário do Campus Aristóteles Calazans Simões - UFAL,Maceió,4000000.0
SESU,AL,UFAL,Salas de Aula do Curso de de Engenharias e Ciências Agrárias do Campus Delza Gitaí/Rio Largo - UFAL,Maceió,5000000.0
SESU,AL,UFAL,Estruturas Acadêmicas do Campus Penedo - UFAL,Penedo,7000000.0
SESU,AM,UFAM,Restaurante Universitário do Campus do Polo Alto Solimões - UFAM,Benjamin Constant,3300000.0
SESU,AM,UFAM,Restaurante Universitário do Instituto de Saúde e Biotecnologia - ISB - do Campus Coari - UFAM,Coari,2900000.0
SESU,AM,UFAM,Estruturas Acadêmicas da Faculdade de Educação Física e Fisioterapia (FEFF) do Campus Manaus/ Setor Sul- UFAM,Manaus,7400000.0
SESU,AM,UFAM,Estruturas Acadêmicas da Faculdade de Estudos Sociais (FES) do Campus Manaus /Setor Norte - UFAM,Manaus,7400000.0
SESU,AM,UFAM,Estruturas Acadêmicas da Faculdade de Odontologia (FAO) do Campus Manaus /Setor Sul - UFAM,Manaus,14800000.0
SESU,AM,UFAM,Estruturas Acadêmicas do Instituto de Ciências Sociais Educação e Zootecnia do Campus Parintins - UFAM,Parintins,10700000.0
SESU,AM,UFAM,Novo Campus de São Gabriel da Cachoeira ,São Gabriel da Cachoeira,50000000.0
SESU,AM,UFAM,Novo Campus de São Gabriel da Cachoeira - Equipamentos,São Gabriel da Cachoeira,10000000.0
SESU,AP,UNIFAP,Salas de Aula do Campus Calçoene - UNIFAP,Calçoene,4200000.0
SESU,AP,UNIFAP,Estruturas Acadêmicas do Campus Marco Zero do Equador - UNIFAP,Macapá,2800000.0
SESU,AP,UNIFAP,Salas de Aula do Centro de Educação - Etapa 2 - do Campus Marco Zero do Equador - UNIFAP,Macapá,3500000.0
SESU,AP,UNIFAP,Salas de Aula do Campus Mazagão - UNIFAP,Mazagão,1100000.0
SESU,AP,UNIFAP,Salas de Aula do Campus Oiapoque - UNIFAP,Oiapoque,3800000.0
SESU,AP,UNIFAP,Salas de Aula do Campus Santana - UNIFAP,Santana,1100000.0
SESU,AP,UNIFAP,Salas de Aula do Campus Tartarugalzinho - UNIFAP,Tartarugalzinho,4200000.0
SESU,BA,UFBA,Biblioteca da de Faculdade de Filosofia e Ciências Humanas do Campus Ondina - UFBA,Salvador,5000000.0
SESU,BA,UFBA,Complexo Cultural (Sala de Concerto) da Escola de Música - UFBA,Salvador,2500000.0
SESU,BA,UFBA,Estruturas Acadêmicas (Etapa III) da Escola de Medicina Veterinária e Zootecnia - UFBA,Salvador,4500000.0
SESU,BA,UFBA,"Estruturas Acadêmicas (Etapa III) do Instituto de Humanidades, Artes e Ciências - UFBA",Salvador,5000000.0
SESU,BA,UFBA,Estruturas Acadêmicas da Escola de Música do Campus Ondina - UFBA,Salvador,16000000.0
SESU,BA,UFBA,Instituto de Ciência da Informação - UFBA,Salvador,15750000.0
SESU,BA,UFBA,Prédio do Anexo da Escola Politécnica - UFBA,Salvador,35000000.0
SESU,BA,UFBA,Salas de Aula da Física e Química do Campus Ondina - UFBA,Salvador,15000000.0
SESU,BA,UFBA,Salas de Aula da Medicina Veterinária do Campus Ondina - UFBA,Salvador,6000000.0
SESU,BA,UFBA,Salas de Aula das Ciências Humanas do Campus Ondina - UFBA,Salvador,8000000.0
SESU,BA,UFOB,Estruturas Acadêmicas do Campus Barra - UFOB,Barra,3800000.0
SESU,BA,UFOB,Instalações Prediais complementares do Campus Barra - UFOB,Barra,1100000.0
SESU,BA,UFOB,Estruturas Acadêmicas do Campus Barreiras - UFOB,Barreiras,1500000.0
SESU,BA,UFOB,Laboratórios do Campus Barreiras - UFOB,Barreiras,3800000.0
SESU,BA,UFOB,Estruturas Acadêmicas do Campus Bom Jesus da Lapa - UFOB,Bom Jesus da Lapa,3800000.0
SESU,BA,UFOB,Instalações Prediais complementares do Campus Bom Jesus da Lapa - UFOB,Bom Jesus da Lapa,1100000.0
SESU,BA,UFOB,Estruturas Acadêmicas de Biotecnologia e Produção do Campus Luís Eduardo Magalhães - UFOB,Luís Eduardo Magalhães,4960000.0
SESU,BA,UFOB,Estruturas Acadêmicas do Campus Santa Maria da Vitória - UFOB,Santa Maria da Vitória,4960000.0
SESU,BA,UFRB,Conclusão da Edificação do Complexo Esportivo - Universidade Federal do Recôncavo da Bahia -  Amargosa /BA.,Amargosa,2000000.0
SESU,BA,UFRB,Laboratórios do Centro de Formação de Professores (CFP) do Campus Amargosa - UFRB,Amargosa,14000000.0
SESU,BA,UFRB,"Estruturas Acadêmicas do Centro de Artes, Humanidades e Letras (CAHL) do Campus Cachoeira - UFRB",Cachoeira,5588219.02
SESU,BA,UFRB,Laboratórios do Centro de Ciências Exatas e Tecnológicas (CETEC) do Campus Cruz das Almas - UFRB,Cruz das Almas,1211780.98
SESU,BA,UFRB,Laboratórios do INSECTA do Campus Cruz das Almas - UFRB,Salvador,4200000.0
SESU,BA,UFRB,Estruturas Acadêmicas e Administrativas do Campus Santo Amaro - UFRB,Santo Amaro,25000000.0
SESU,BA,UFRB,Sede do Centro de Ciências da Saúde em Santo Antonio Jesus/BA. Universidade Federal do Recôncavo da Bahia -  Santo Antônio de Jesus /BA,Santo Antônio de Jesus,1800000.0
SESU,BA,UFSB,Laboratório do Campus Sosígenes Costa,,17450989.18
SESU,BA,UFSB,Infra do Núcleo Pedagógico  - Núcleo de Vivência e de Gestão Acadêmica - Campus Jorge Amado - Universidade Federal do Sul da Bahia.,Ilheus,2015867.49
SESU,BA,UFSB,Restaurante Universitário do Campus Jorge Amado - UFSB,Itabuna,933334.0
SESU,BA,UFSB,Novo Campus de Jequié,Jequié,50000000.0
SESU,BA,UFSB,Novo Campus de Jequié - Equipamentos,Jequié,10000000.0
SESU,BA,UFSB,Estruturas Acadêmicas do Núcleo Pedagógico NUPED do Campus Sosígenes Costa - UFSB,Porto Seguro,15900000.0
SESU,BA,UFSB,Restaurante Universitário do Campus Sosígenes Costa - UFSB,Porto Seguro,933333.0
SESU,BA,UFSB,Construção  Subestação Abrigada - Universidade Federal Sul da Bahia - Teixeira de Freitas.,Teixeira de Freitas,2421317.0
SESU,BA,UFSB,Construção do Núcleo Pedagógico do Campus Paulo Freire- UFSB,Teixeira de Freitas,1792142.81
SESU,BA,UFSB,Laboratórios do Campus Paulo Freire  - UFSB,Teixeira de Freitas,8900000.0
SESU,BA,UFSB,Restaurante Universitário do Campus Paulo Freire  - UFSB,Teixeira de Freitas,933333.0
SESU,BA,UNILAB,Blocos Anexos - Campus dos Malês/ Universidade da Integração Internacional da Lusofonia Afro-Brasileira -  São Francisco do Conde /BA,São Francisco do Conde,5250000.0
SESU,BA,UNILAB,Construção dos Blocos Anexos de Salas de Aulas - Etapa 2 - Campus Malês - UNILAB,São Francisco do Conde,4700000.0
SESU,BA,UNILAB,Estruturas Acadêmicas do Campus dos Malês - UNILAB,São Francisco do Conde,2300000.0
SESU,BA,UNILAB,Infraestrutura e urbanização do Campus dos Malês - UNILAB,São Francisco do Conde,2000000.0
SESU,BA,UNILAB,Restaurante Universitário do Campus Malês - UNILAB,São Francisco do Conde,3800000.0
SESU,BA,UNIVASF,Estruturas Acadêmicas do Campus Senhor do Bonfim - UNIVASF,Senhor do Bonfim,9500000.0
SESU,CE,UFC,Bloco de Laboratórios multiusuários Câmpus Crateús,Crateús,4530281.0
SESU,CE,UFC,Construção do Refeitório e Biblioteca do Campus Crateús/Universidade Federal do Ceará,Crateús,6157112.0
SESU,CE,UFC,Estruturas Acadêmicas do Curso de Odontologia do Campus Crateús - UFC,Crateús,15000000.0
SESU,CE,UFC,Conclusão Residência Univ. Benfica - Nº 1655,Fortaleza,2292217.32
SESU,CE,UFC,Construção do Bloco da Central Analítica - 2º Etapa - Campus do Pici,Fortaleza,1159875.92
SESU,CE,UFC,Estruturas Acadêmicas do Bloco Labomar do Campus Iracema  - UFC,Fortaleza,40000000.0
SESU,CE,UFC,Moradia Estudantil -  Univ. Benfica - Nº 2142 do Campus Sede - UFC,Fortaleza,3777328.0
SESU,CE,UFC,Novo Prédio do Hospital Walter Cantídio do Campus Porangabuçu - UFC,Fortaleza,78835805.65
SESU,CE,UFC,Reforma da Superintêndência de Tecnologia da Informação,Fortaleza,4480485.5
SESU,CE,UFC,Complexo Esportivo do Campus Itapajé - UFC,Itapagé,2000000.0
SESU,CE,UFC,Estruturas Acadêmicas do Campus Quixadá - UFC,Quixadá,6000000.0
SESU,CE,UFC,Estruturas Acadêmicas do Curso de Medicina do Campus Russas - UFC,Russas,10700000.0
SESU,CE,UFC,Biblioteca do Campus Sobral - UFC,Sobral,3600000.0
SESU,CE,UFC,Complexo Esportivo e/ou Culturais do Campus Sobral - UFC,Sobral,2000000.0
SESU,CE,UFC,Conclusão do Bloco Didático de Sobral - 2° etapa,Sobral,10468851.14
SESU,CE,UFCA,Ampliação do Compus da Sede de Barbalha - UFCA,Barbalha,69000000.0
SESU,CE,UFCA,Estruturas Acadêmicas do Campus Barbalha  - UFCA,Barbalha,100000.0
SESU,CE,UFCA,Estruturas Acadêmicas do Campus Brejo Santo  - UFCA,Brejo Santo,6000000.0
