uf,escolas_conectadas_nivel_4_5,territorio,titulo,eti_matriculas_fomentadas,eti_valor_fomentado,cnca_cantinho_leitura,cnca_escolas_apoiadas,cnca_valor_cantinhos,cnca_qtd_articuladores_total,cnca_articuladores_renalpha_2026,cnca_valor_materiais,cnca_valor_formacao,cnca_total_investido,pdm_estudantes_beneficiados,pdm_valor_investido,pdm_abrangencia,pdm_referencia,obras_total_aprovadas,obras_valor_previsto,obras_valor_repassado,novo_pac_creches,novo_pac_creches_valor_previsto,novo_pac_eti,novo_pac_eti_valor_previsto,novo_pac_onibus,novo_pac_onibus_valor_previsto,novo_pac_superior_consolidacao,novo_pac_superior_expansao,novo_pac_superior_total_previsto,lista_obras_sesu_dinamica,novo_pac_ept_consolidacao,novo_pac_ept_total_previsto,novopac_ept_expansao_qtd,novo_pac_ept_expansao,lista_obras_setec_dinamica,lista_expansao_setec_dinamica,novo_pac_hu_valor_previsto,lista_obras_hu_dinamica,fundeb_2023,fundeb_2024,fundeb_2025,fundeb_2026,fundeb_valor_repassado_VAAF,fundeb_valor_repassado_VAAT,fundeb_valor_repassado_VAAR,pnae_escolas_apoiadas,pnae_valor_investido,pnae_abrangencia,pnae_referencia,pnate_estudantes_beneficiados,pnate_valor_investido,pnate_abrangencia,pnate_referencia,if_matriculas,if_numero,if_campi,uf_campi,uf_instituicoes,uf_matriculas_graduacao
GO,"2.909 (81,3 %)",GOIÁS,BRIEFING – Visita Ministerial - GOIÁS,52.166 | Brasil: 1.632.740,"R$ 224,71 milhões | Brasil: R$ 7,23 bilhões",5.083,1.634,"R$ 6,28 milhões",367,"R$ 13,15 milhões","R$ 8,89 milhões","R$ 16,55 milhões","R$ 44,87 milhões",218.164,"R$ 582,90  milhões",2024-2026,Março/2026,74,"R$ 73,60  milhões","R$ 44,99  milhões",107,"R$ 441,12  milhões",18,"R$ 176,99  milhões",41,"R$ 20,63  milhões","R$ 82,46 milhões","R$ 60,00 milhões - 1 Campus (Cidade Ocidental)","R$ 142,46 milhões","1 Restaurante Universitário - R$ 7,50 milhões | 3 Estruturas Acadêmicas - R$ 20,59 milhões | 2 Laboratórios - R$ 15,06 milhões | 2 Moradia Estudantil - R$ 32,81 milhões | 1 Complexo Esportivo - R$ 2,90 milhões | 1 Infraestrutura e Urbanização - R$ 3,60 milhões","R$ 70,10 milhões","R$ 145,10 milhões",3,"R$ 75,00 milhões - 3 campi","6 Equipamento Restaurante - R$ 3,30 milhões | 1 Equipamento - R$ 1,94 milhões | 2 Complexo Esportivo - R$ 1,85 milhões | 3 Laboratórios - R$ 2,03 milhões | 3 Infraestrutura - R$ 2,75 milhões | 1 Demais Obras - R$ 0,32 milhões | 2 Sala de Aula - R$ 1,03 milhões | 1 Sede de Campus - R$ 5,45 milhões | 2 Estruturas Acadêmicas - R$ 23,32 milhões | 13 Restaurante Estudantil - R$ 22,10 milhões | 1 Sede Reitoria - R$ 6,00 milhões",Cavalcante | Porangatu | Quirinópolis,,,"R$ 8,42 bilhões","R$ 9,71 bilhões","R$ 10,28 bilhões","R$ 2,39 bilhões",R$ 0,"R$ 51,68 milhões","R$ 123,34 milhões",,,,,,,,,"45,7 mil",2,26,9,4,24.132
DF,"446 (61,8 %)",DISTRITO FEDERAL,BRIEFING – Visita Ministerial - DISTRITO FEDERAL,14.341 | Brasil: 1.632.740,"R$ 37,13 milhões | Brasil: R$ 7,23 bilhões",961,191,"R$ 1,19 milhões",29,"R$ 1,38 milhões","R$ 2,46 milhões","R$ 98,243","R$ 5,13 milhões",77.948,"R$ 200,42  milhões",2024-2026,Março/2026,,,,5,"R$ 21,59  milhões",1,"R$ 11,09  milhões",0,,"R$ 58,90 milhões","R$ 0,00 milhões","R$ 58,90 milhões","1 Infraestrutura e Urbanização - R$ 47,00 milhões | 1 Estruturas Acadêmicas - R$ 11,90 milhões","R$ 22,83 milhões","R$ 72,83 milhões",2,"R$ 50,00 milhões - 2 campi","9 Restaurante Estudantil - R$ 12,71 milhões | 1 Infraestrutura - R$ 5,25 milhões | 3 Equipamento - R$ 4,34 milhões | 1 Estruturas Acadêmicas - R$ 0,53 milhões",Brasília,,,"R$ 2,82 bilhões","R$ 3,22 bilhões","R$ 3,40 bilhões","R$ 642,69 milhões",R$ 0,R$ 0,R$ 0,,,,,,,,,"22,8 mil",1,10,4,1,38.840
RJ,"4.842 (70,1 %)",RIO DE JANEIRO,BRIEFING – Visita Ministerial - RIO DE JANEIRO,72.617 | Brasil: 1.632.740,"R$ 287,64 milhões | Brasil: R$ 7,23 bilhões",10.858,3.500,"R$ 13,41 milhões",136,"R$ 4,99 milhões","R$ 11,25 milhões","R$ 13,79 milhões","R$ 43,44 milhões",487.497,"R$ 1,35  bilhões",2024-2026,Março/2026,25,"R$ 29,97  milhões","R$ 11,07  milhões",63,"R$ 279,57  milhões",29,"R$ 313,42  milhões",42,"R$ 21,55  milhões","R$ 143,91 milhões","R$ 0,00 milhões","R$ 143,91 milhões","3 Estruturas Acadêmicas - R$ 34,50 milhões | 3 Salas de Aula - R$ 37,52 milhões | 3 Moradia Estudantil - R$ 59,00 milhões | 2 Restaurante Universitário - R$ 1,47 milhões | 1 Laboratórios - R$ 2,63 milhões | 2 Complexo Esportivo - R$ 2,00 milhões | 1 Infraestrutura e Urbanização - R$ 6,80 milhões","R$ 61,49 milhões","R$ 236,49 milhões",7,"R$ 175,00 milhões - 7 campi","22 Restaurante Estudantil - R$ 30,42 milhões | 5 Equipamento - R$ 9,90 milhões | 1 Demais Obras - R$ 0,22 milhões | 7 Infraestrutura - R$ 13,13 milhões | 3 Estruturas Acadêmicas - R$ 6,31 milhões | 1 Biblioteca - R$ 1,50 milhões",Piraí | Rio de Janeiro | Belford Roxo | Magé | Teresópolis | São Gonçalo,"R$ 115,00 milhões","Reforma do Complexo Hospitalar da Universidade Federal do Rio de Janeiro (CH-UFRJ). - R$ 115,00 milhões","R$ 15,95 bilhões","R$ 16,36 bilhões","R$ 16,92 bilhões","R$ 4,31 bilhões","R$ -38,278,560","R$ 29,24 milhões","R$ 12,84 milhões",,,,,,,,,"43,5 mil",2,27,25,4,126.141
SP,"12.366 (64,5 %)",SÃO PAULO,BRIEFING – Visita Ministerial - SÃO PAULO,281.930 | Brasil: 1.632.740,"R$ 874,02 milhões | Brasil: R$ 7,23 bilhões",24.659,5.374,"R$ 30,45 milhões",917,"R$ 32,28 milhões","R$ 44,09 milhões","R$ 60,74 milhões","R$ 167,56 milhões",981.386,"R$ 2,47  bilhões",2024-2026,Março/2026,43,"R$ 61,67  milhões","R$ 36,64  milhões",94,"R$ 445,03  milhões",41,"R$ 410,05  milhões",28,"R$ 14,03  milhões","R$ 272,31 milhões","R$ 60,00 milhões - 1 Campus (São José do Rio Preto)","R$ 332,31 milhões","1 Equipamentos - R$ 8,00 milhões | 7 Estruturas Acadêmicas - R$ 149,81 milhões | 4 Infraestrutura e Urbanização - R$ 46,00 milhões | 3 Salas de Aula - R$ 22,00 milhões | 1 Restaurante Universitário - R$ 5,00 milhões | 1 Complexo Esportivo - R$ 25,00 milhões | 1 Moradia Estudantil - R$ 16,50 milhões","R$ 150,20 milhões","R$ 490,20 milhões",14,"R$ 340,00 milhões - 14 campi","15 Equipamento Restaurante - R$ 8,25 milhões | 6 Equipamento - R$ 2,65 milhões | 7 Sede de Campus - R$ 71,17 milhões | 6 Biblioteca - R$ 9,00 milhões | 16 Restaurante Estudantil - R$ 27,03 milhões | 1 Sede Reitoria - R$ 9,45 milhões | 4 Sala de Aula - R$ 7,16 milhões | 3 Infraestrutura - R$ 13,74 milhões | 1 Laboratórios - R$ 1,75 milhões",São Paulo | Osasco | Diadema | Cotia | Mauá | Guarujá | Sumaré | Franco da Rocha | Carapicuíba | São Vicente | Santos | Ribeirão Preto,"R$ 281,50 milhões"," Implantação de Unidades de Clínica Cirúrgica e Clínica Médica;  UTI Coronariana, Hospital dia e nova Unidade de Hemodiálise. - R$ 24,12 milhões | Construção do novo HU. - R$ 257,38 milhões","R$ 51,98 bilhões","R$ 59,17 bilhões","R$ 62,34 bilhões","R$ 13,05 bilhões",R$ 0,"R$ 28,82 milhões","R$ 52,17 milhões",,,,,,,,,"67,9 mil",1,41,14,10,41.713
RS,"5.993 (82,9 %)",RIO GRANDE DO SUL,BRIEFING – Visita Ministerial - RIO GRANDE DO SUL,59.731 | Brasil: 1.632.740,"R$ 180,02 milhões | Brasil: R$ 7,23 bilhões",9.734,4.457,"R$ 12,02 milhões",589,"R$ 20,26 milhões","R$ 16,35 milhões","R$ 38,09 milhões","R$ 86,72 milhões",216.158,"R$ 518,88  milhões",2024-2026,Março/2026,74,"R$ 105,86  milhões","R$ 69,42  milhões",72,"R$ 301,34  milhões",12,"R$ 134,99  milhões",120,"R$ 54,44  milhões","R$ 150,94 milhões","R$ 60,00 milhões - 1 Campus (Caxias do Sul)","R$ 210,94 milhões","7 Estruturas Acadêmicas - R$ 18,47 milhões | 10 Restaurante Universitário - R$ 18,39 milhões | 13 Infraestrutura e Urbanização - R$ 82,58 milhões | 4 Moradia Estudantil - R$ 11,20 milhões | 5 Salas de Aula - R$ 13,30 milhões | 1 Laboratórios - R$ 5,00 milhões | 1 Complexo Esportivo - R$ 2,00 milhões","R$ 95,29 milhões","R$ 275,29 milhões",8,"R$ 180,00 milhões - 8 campi","4 Equipamento Restaurante - R$ 2,20 milhões | 10 Biblioteca - R$ 15,00 milhões | 1 Sede de Campus - R$ 15,53 milhões | 10 Infraestrutura - R$ 4,92 milhões | 3 Demais Obras - R$ 2,40 milhões | 4 Estruturas Acadêmicas - R$ 4,11 milhões | 5 Equipamento - R$ 8,24 milhões | 20 Restaurante Estudantil - R$ 32,90 milhões | 1 Sede Reitoria - R$ 10,00 milhões",Rosário do Sul | Santa Maria | Triunfo | São Leopoldo | Gramado | Porto Alegre | Caçapava do Sul | São Luiz Gonzaga,"R$ 364,28 milhões","Reforma para Reestruturação elétrica; Reforma da fachada; Cobertura;Construção Almoxarifado e Administração. - R$ 32,00 milhões | Reformas e ampliações para o HU-FURG - R$ 50,00 milhões | Reforma das áreas de oncologia adulto e pediátrica, fachada e cobertura - R$ 8,28 milhões | Construção dos blocos 1 e 2 do novo Hospital Escola da Universidade Federal de Pelotas - R$ 274,00 milhões","R$ 13,64 bilhões","R$ 15,65 bilhões","R$ 16,16 bilhões","R$ 3,64 bilhões",R$ 0,"R$ 1,96 milhões","R$ 37,07 milhões",,,,,,,,,"836,7 mil",3,42,30,8,83.148
MS,"1.092 (79,3 %)",MATO GROSSO DO SUL,BRIEFING – Visita Ministerial - MATO GROSSO DO SUL,30.435 | Brasil: 1.632.740,"R$ 79,92 milhões | Brasil: R$ 7,23 bilhões",2.152,641,"R$ 2,66 milhões",117,"R$ 4,26 milhões","R$ 3,86 milhões","R$ 7,50 milhões","R$ 18,28 milhões",82.007,"R$ 220,06  milhões",2024-2026,Março/2026,22,"R$ 33,42  milhões","R$ 17,45  milhões",33,"R$ 151,16  milhões",16,"R$ 161,92  milhões",39,"R$ 18,15  milhões","R$ 40,44 milhões","R$ 0,00 milhões","R$ 40,44 milhões","1 Salas de Aula - R$ 2,68 milhões | 4 Estruturas Acadêmicas - R$ 14,37 milhões | 8 Complexo Esportivo - R$ 8,00 milhões | 2 Infraestrutura e Urbanização - R$ 15,39 milhões","R$ 38,36 milhões","R$ 88,36 milhões",2,"R$ 50,00 milhões - 2 campi","1 Equipamento Restaurante - R$ 0,55 milhões | 3 Estruturas Acadêmicas - R$ 5,09 milhões | 1 Complexo Esportivo - R$ 0,63 milhões | 1 Demais Obras - R$ 0,86 milhões | 1 Equipamento - R$ 3,56 milhões | 8 Restaurante Estudantil - R$ 13,60 milhões | 2 Biblioteca - R$ 3,00 milhões | 1 Sede de Campus - R$ 11,06 milhões",Paranaíba | Amambai,"R$ 65,51 milhões","Reforma das enfermarias do HU. - R$ 13,00 milhões | Reforma do ambulatório, Clínica Médica, da sala da hemodinâmica, reestruturação elétrica e de SPDA - R$ 12,00 milhões | Construção da Unidade da Mulher e da Criança - R$ 31,00 milhões | Reforma geral do Centro Cirúrgico - R$ 9,51 milhões","R$ 4,49 bilhões","R$ 4,97 bilhões","R$ 5,30 bilhões","R$ 1,13 bilhões",R$ 0,"R$ 3,69 milhões","R$ 7,93 milhões",,,,,,,,,"82,7 mil",1,10,11,2,32.712
MT,"1.716 (76,7 %)",MATO GROSSO,BRIEFING – Visita Ministerial - MATO GROSSO,26.984 | Brasil: 1.632.740,"R$ 86,43 milhões | Brasil: R$ 7,23 bilhões",2.674,933,"R$ 3,30 milhões",183,"R$ 6,56 milhões","R$ 5,34 milhões","R$ 18,02 milhões","R$ 33,22 milhões",118.366,"R$ 302,91  milhões",2024-2026,Março/2026,38,"R$ 36,11  milhões","R$ 21,02  milhões",46,"R$ 220,77  milhões",12,"R$ 133,88  milhões",43,"R$ 20,38  milhões","R$ 30,95 milhões","R$ 69,00 milhões - 1 Campus (Lucas do Rio Verde)","R$ 99,95 milhões","5 Salas de Aula - R$ 19,10 milhões | 1 Biblioteca - R$ 1,50 milhões | 1 Complexo Esportivo - R$ 3,00 milhões | 1 Infraestrutura e Urbanização - R$ 5,20 milhões | 1 Restaurante Universitário - R$ 2,15 milhões","R$ 42,51 milhões","R$ 117,51 milhões",3,"R$ 75,00 milhões - 3 campi","2 Infraestrutura - R$ 1,41 milhões | 2 Estruturas Acadêmicas - R$ 13,29 milhões | 8 Restaurante Estudantil - R$ 13,60 milhões | 2 Sede de Campus - R$ 14,21 milhões",Colniza | Água Boa | Canarana,,,"R$ 6,15 bilhões","R$ 6,68 bilhões","R$ 7,67 bilhões","R$ 1,59 bilhões",R$ 0,"R$ 4,62 milhões","R$ 29,23 milhões",,,,,,,,,"29,6 mil",1,19,6,3,19.129
PA,"6.370 (66,1 %)",PARÁ,BRIEFING – Visita Ministerial - PARÁ,127.391 | Brasil: 1.632.740,"R$ 732,45 milhões | Brasil: R$ 7,23 bilhões",9.467,6.047,"R$ 11,69 milhões",265,"R$ 9,67 milhões","R$ 13,31 milhões","R$ 12,90 milhões","R$ 47,57 milhões",480.118,"R$ 1,49  bilhões",2024-2026,Março/2026,360,"R$ 417,21  milhões","R$ 254,17  milhões",95,"R$ 396,43  milhões",39,"R$ 395,47  milhões",167,"R$ 83,36  milhões","R$ 133,79 milhões","R$ 35,00 milhões - 1 Campus (Rurópolis)","R$ 168,79 milhões","1 Infraestrutura e Urbanização - R$ 0,50 milhões | 8 Estruturas Acadêmicas - R$ 75,37 milhões | 6 Salas de Aula - R$ 35,62 milhões | 2 Laboratórios - R$ 15,80 milhões | 2 Restaurante Universitário - R$ 5,00 milhões | 1 Moradia Estudantil - R$ 1,50 milhões","R$ 54,43 milhões","R$ 179,43 milhões",5,"R$ 125,00 milhões - 5 campi","4 Estruturas Acadêmicas - R$ 27,55 milhões | 10 Restaurante Estudantil - R$ 20,31 milhões | 1 Biblioteca - R$ 1,50 milhões | 1 Laboratórios - R$ 5,07 milhões",Barcarena | Redenção | Tailândia | Alenquer | Viseu,"R$ 52,00 milhões","Reestruturação das instalações de  Prevenção e Combate à Incêndio e Instalações Elétricas - R$ 10,00 milhões | Construção de novo bloco assistencial de alta complexidade (UTI Adulto e UTI Pediátrica, Centro Cirúrgico, CME e laboratório); - R$ 42,00 milhões","R$ 14,15 bilhões","R$ 16,22 bilhões","R$ 18,52 bilhões","R$ 4,49 bilhões","R$ 1,34 bilhões","R$ 1,02 bilhões","R$ 147,20 milhões",,,,,,,,,"27,0 mil",1,18,31,5,56.926
PR,"6.347 (85,7 %)",PARANÁ,BRIEFING – Visita Ministerial - PARANÁ,119.727 | Brasil: 1.632.740,"R$ 565,1 milhões | Brasil: R$ 7,23 bilhões",9.936,3.642,"R$ 12,27 milhões",497,"R$ 17,36 milhões","R$ 13,15 milhões","R$ 21,81 milhões","R$ 64,58 milhões",258.586,"R$ 672,65  milhões",2024-2026,Março/2026,49,"R$ 89,43  milhões","R$ 54,53  milhões",85,"R$ 399,62  milhões",15,"R$ 163,23  milhões",55,"R$ 25,85  milhões","R$ 865,50 milhões","R$ 0,00 milhões","R$ 865,50 milhões","1 Salas de Aula - R$ 5,50 milhões | 14 Estruturas Acadêmicas - R$ 833,50 milhões | 1 Laboratórios - R$ 1,00 milhões | 1 Moradia Estudantil - R$ 10,00 milhões | 2 Biblioteca - R$ 6,50 milhões | 1 Infraestrutura e Urbanização - R$ 9,00 milhões","R$ 40,05 milhões","R$ 180,05 milhões",6,"R$ 140,00 milhões - 6 campi","12 Restaurante Estudantil - R$ 20,40 milhões | 2 Equipamento - R$ 2,29 milhões | 1 Laboratórios - R$ 0,70 milhões | 2 Demais Obras - R$ 1,70 milhões | 2 Estruturas Acadêmicas - R$ 1,71 milhões | 1 Infraestrutura - R$ 0,50 milhões | 5 Equipamento Restaurante - R$ 2,75 milhões | 1 Sede de Campus - R$ 10,00 milhões",Ponta Grossa | Maringá | Araucária | Cianorte | Cambé | Toledo,,,"R$ 14,31 bilhões","R$ 16,18 bilhões","R$ 17,52 bilhões","R$ 3,99 bilhões",R$ 0,"R$ 17,11 milhões","R$ 190,92 milhões",,,,,,,,,"30,6 mil",1,26,28,5,60.755
SC,"4.111 (78,8 %)",SANTA CATARINA,BRIEFING – Visita Ministerial - SANTA CATARINA,46.646 | Brasil: 1.632.740,"R$ 216,5 milhões | Brasil: R$ 7,23 bilhões",5.877,2.494,"R$ 7,26 milhões",405,"R$ 14,51 milhões","R$ 8,94 milhões","R$ 13,55 milhões","R$ 44,26 milhões",113.874,"R$ 286,18  milhões",2024-2026,Março/2026,18,"R$ 39,58  milhões","R$ 22,05  milhões",25,"R$ 120,07  milhões",24,"R$ 260,41  milhões",40,"R$ 19,82  milhões","R$ 61,50 milhões","R$ 0,00 milhões","R$ 61,50 milhões","6 Estruturas Acadêmicas - R$ 53,00 milhões | 1 Restaurante Universitário - R$ 6,00 milhões | 1 Moradia Estudantil - R$ 2,50 milhões","R$ 54,46 milhões","R$ 129,46 milhões",3,"R$ 75,00 milhões - 3 campi","5 Equipamento Restaurante - R$ 2,75 milhões | 13 Restaurante Estudantil - R$ 22,10 milhões | 1 Estruturas Acadêmicas - R$ 3,88 milhões | 1 Complexo Esportivo - R$ 2,01 milhões | 6 Infraestrutura - R$ 2,98 milhões | 4 Equipamento - R$ 3,71 milhões | 1 Sede de Campus - R$ 15,53 milhões | 1 Biblioteca - R$ 1,50 milhões",Tijucas | Campos Novos | Mafra,"R$ 10,00 milhões","Reforma com ampliação do Centro Obstétrico, Emergência e Internação de GO - R$ 10,00 milhões","R$ 10,21 bilhões","R$ 11,84 bilhões","R$ 12,71 bilhões","R$ 2,76 bilhões",R$ 0,"R$ 10,41 milhões","R$ 29,08 milhões",,,,,,,,,"59,1 mil",2,37,6,3,28.715
